"id","station_code","station_name","latitude","longitude","level"
150,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/BryKgdfmnnU","Mawabeni Clinic",NULL,NULL,4
151,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/cMnfYLDG3wb","Zimbili Clinic",NULL,NULL,4
152,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/DD4GJqpcTRS","Nswazi Clinic",NULL,NULL,4
153,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/e4A1s0LVXW8","How Mine Mine Clinic",NULL,NULL,4
154,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/EJIkhGYlQVb","Esigodini District Hospital",NULL,NULL,4
155,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/JfjyEPK4x5b","Mhlahlandlela Clinic",NULL,NULL,4
156,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/JHAlEGeE4Cl","Irisvale Rural Health Centre",NULL,NULL,4
157,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/MJItwbZps26","Habani Clinic",NULL,NULL,4
158,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/NYyR0XgxhQr","Umzingwane Clinic",NULL,NULL,4
159,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/QF8O7qAp5NJ","Mpisini Clinic",NULL,NULL,4
160,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/RbPl86Ek1pJ","Kumbuzi Rural Health Centre",NULL,NULL,4
161,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/SjvPWQ5l2gT","Esibobvu Clinic",NULL,NULL,4
162,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/tN6rOnRMwmB","Nhlangano Clinic",NULL,NULL,4
163,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/WRQDsk1fI1Z","Mbizingwe Rural Health Centre",NULL,NULL,4
164,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/xKCmMnOpkq8","Ntshamathe Clinic",NULL,NULL,4
165,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/ZskGFI5lTex","Shale Clinic",NULL,NULL,4
166,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr","Insiza",NULL,NULL,3
167,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/Adc2S4HRzAf","Sanale Rural Health Centre",NULL,NULL,4
168,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/b3PU8AeeaQC","Wanezi Rural Hospital",NULL,NULL,4
169,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/Ct34hgdcaQf","Kombo Clinic",NULL,NULL,4
170,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/dopFToosDbC","Montrose 7 Clinic ",NULL,NULL,4
171,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/ec12kvcjS7E","Singwambizi Clinic",NULL,NULL,4
172,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/gu6QjBK15Rz","Nkankezi Rural Health Centre",NULL,NULL,4
173,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/IzjQ0ClMwFr","Mbondo Clinic",NULL,NULL,4
174,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/krUJBXgxsij","Zhulube Clinic",NULL,NULL,4
175,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/LAGfgfyUDwT","Nyamime Rural Health Centre",NULL,NULL,4
176,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/nTq5H4A7Lyc","Filabusi District Hospital",NULL,NULL,4
177,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/ohXsGJeKhB4","Shangani Mine Clinic",NULL,NULL,4
178,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/qmtMQzRoH0H","Avoca Rural Hospital",NULL,NULL,4
179,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/Qx7IPzhtG69","GSU Clinic",NULL,NULL,4
